,cc,NZ,N,Z,A,el,o,mass,mass_err,binding,binding_err,B,beta,beta_err,u,atomic_mass,atomic_mass_err,umass,umass_err,precision,abundancy,halflife
34,,4,7,3,10,Li,-n,33052.628,12.721,4531.3512,1.2721,B-,20445.1411,12.7216,10,35483.453,13.656,10.035483453,1.3656e-05,1.3607715127981887e-06,0.0,2e-21
35,,2,6,4,10,Be,,12607.487,0.081,6497.6306,0.0081,B-,556.8759,0.0822,10,13534.692,0.086,10.013534692,8.599999999999999e-08,8.588375897744379e-09,0.0,47650958260000.0
36,,0,5,5,10,B,,12050.611,0.015,6475.0835,0.0015,B-,-3648.0623,0.0687,10,12936.862,0.016,10.012936862,1.6e-08,1.5979327764186196e-09,20.4,inf
37,,-2,4,6,10,C,,15698.673,0.07,6032.0426,0.007,B-,-23101.3545,400.0,10,16853.217,0.075,10.016853217,7.5e-08,7.487381353728385e-09,0.0,19.3009
38,,-4,3,7,10,N,--,38800.027,400.0,3643.6724,40.0,B-,,,10,41653.54,429.417,10.04165354,0.00042941699999999997,4.276357457359557e-05,0.0,2e-22
39,0,5,8,3,11,Li,x,40728.259,0.615,4155.3817,0.0559,B-,20551.0898,0.6591,11,43723.581,0.66,11.043723581,6.6e-07,5.976245196280416e-08,0.0,0.00875
40,,3,7,4,11,Be,,20177.169,0.238,5952.5402,0.0216,B-,11509.4607,0.238,11,21661.08,0.255,11.02166108,2.55e-07,2.3136258513948063e-08,0.0,13.76
41,,1,6,5,11,B,,8667.708,0.012,6927.7323,0.0011,B-,-1981.6889,0.0608,11,9305.166,0.013,11.009305166,1.2999999999999999e-08,1.1808192982194603e-09,79.6,inf
42,,-1,5,6,11,C,,10649.397,0.06,6676.4563,0.0054,B-,-13716.2469,5.0008,11,11432.597,0.064,11.011432597,6.4e-08,5.812141103005655e-09,0.0,1221.84
43,,-3,4,7,11,N,-p,24365.644,5.0,5358.4023,0.4546,B-,-23373.2693,60.2459,11,26157.593,5.368,11.026157593,5.368e-06,4.868423070071025e-07,0.0,5.5e-22
44,,-5,3,8,11,O,-pp,47738.913,60.038,3162.4372,5.458,B-,,,11,51249.828,64.453,11.051249828,6.4453e-05,5.8321910193993315e-06,0.0,0.0
45,0,6,9,3,12,Li,-n,49009.577,30.006,3791.5999,2.5005,B-,23931.8152,30.0669,12,52613.942,32.213,12.052613942,3.2213e-05,2.6726982341769587e-06,0.0,1e-08
46,,4,8,4,12,Be,,25077.761,1.909,5720.7223,0.159,B-,11708.3636,2.3214,12,26922.082,2.048,12.026922082,2.048e-06,1.702846319313171e-07,0.0,0.0215
47,,2,7,5,12,B,,13369.398,1.321,6631.2237,0.1101,B-,13369.3979,1.3214,12,14352.638,1.418,12.014352638,1.4179999999999998e-06,1.1802550189138203e-07,0.0,0.0202
48,,0,6,6,12,C,,0.0,0.0,7680.1446,0.0002,B-,-17338.0681,0.9999,12,0.0,0.0,12.0,0.0,0.0,98.84,inf
49,,-2,5,7,12,N,,17338.068,1.0,6170.11,0.0833,B-,-14675.2668,12.0418,12,18613.18,1.073,12.01861318,1.073e-06,8.92781874189581e-08,0.0,0.011
50,,-4,4,8,12,O,-pp,32013.335,12.0,4881.9755,1.0,B-,,,12,34367.726,12.882,12.034367726,1.2882e-05,1.0704343006046516e-06,0.0,6e-15
51,0,7,10,3,13,Li,-nn,56980.895,70.003,3507.6307,5.3848,B-,23321.8152,70.7391,13,61171.503,75.15,13.061171503,7.515e-05,5.753695216599744e-06,0.0,3.3e-21
52,,5,9,4,13,Be,-n,33659.08,10.18,5241.4359,0.7831,B-,17097.1315,10.2295,13,36134.506,10.929,13.036134506,1.0929e-05,8.38362015593643e-07,0.0,1e-21
53,,3,8,5,13,B,-nn,16561.948,1.0,6496.4194,0.0769,B-,13436.9387,1.0001,13,17779.981,1.073,13.017779981,1.073e-06,8.242572862393501e-08,0.0,0.01733
54,,1,7,6,13,C,,3125.00933,0.00023,7469.8495,0.0002,B-,-2220.4718,0.2695,13,3354.83534,0.00025,13.00335483534,2.5e-10,1.922580773698184e-11,1.16,inf
55,,-1,6,7,13,N,-p,5345.481,0.27,7238.8634,0.0207,B-,-17769.9506,9.5301,13,5738.609,0.289,13.005738609,2.8899999999999995e-07,2.222096019983143e-08,0.0,597.9
56,,-3,5,8,13,O,+3n,23115.432,9.526,5811.7636,0.7328,B-,-18915.0,500.0,13,24815.435,10.226,13.024815435,1.0226e-05,7.851166913675349e-07,0.0,0.00858
57,,-5,4,9,13,F,x,42030.0,500.0,4297.0,38.0,B-,,,13,45121.0,537.0,13.045121,0.0005369999999999999,4.116481556591157e-05,0.0,0.0
58,0,6,10,4,14,Be,x,39954.502,132.245,4993.8973,9.4461,B-,16290.8166,133.9357,14,42892.92,141.97,14.04289292,0.00014197,1.010974026568309e-05,0.0,0.00435
