Z	species	charge_state	el_name	isoelectric	ground_shells	groud_level	ionized_level	ie	ie_err	reference
17	ClXII	11	Chlorine	C	1s22s22p2	3P0	2p2P°1/2	591.58	0.19	L11770
17	ClXIII	12	Chlorine	B	1s22s22p	2P°1/2	2s21S0	656.30	0.12	L11770
17	ClXIV	13	Chlorine	Be	1s22s2	1S0	2s2S1/2	750.23	0.19	L11770
17	ClXV	14	Chlorine	Li	1s22s	2S1/2	1s21S0	809.198	0.007	L16264c99
17	ClXVI	15	Chlorine	He	1s2	1S0	1s2S1/2	3658.3438	0.0003	L12128
17	ClXVII	16	Chlorine	H	1s	2S1/2		3946.2909	0.0006	L7188
18	ArI	0	Argon	Ar	Ne3s23p6	1S0	3p52P°3/2	15.7596119	0.0000005	L9217
18	ArII	1	Argon	Cl	Ne3s23p5	2P°3/2	3p43P2	27.62967	0.00012	L8844
18	ArIII	2	Argon	S	Ne3s23p4	3P2	3p34S°3/2	40.735	0.012	L8114
18	ArIV	3	Argon	P	Ne3s23p3	4S°3/2	3p23P0	59.58	0.18	L11770
18	ArV	4	Argon	Si	Ne3s23p2	3P0	3p2P°1/2	74.84	0.17	L11770
18	ArVI	5	Argon	Al	Ne3s23p	2P°1/2	3s21S0	91.290	0.010	L12277
18	ArVII	6	Argon	Mg	Ne3s2	1S0	3s2S1/2	124.41	0.06	L11770
18	ArVIII	7	Argon	Na	Ne3s	2S1/2	2p61S0	143.4567	0.0012	L4344
18	ArIX	8	Argon	Ne	1s22s22p6	1S0	2p52P°3/2	422.60	0.06	L11770
18	ArX	9	Argon	F	1s22s22p5	2P°3/2	2p43P2	479.76	0.12	L11242c99
18	ArXI	10	Argon	O	1s22s22p4	3P2	2p34S°3/2	540.4	0.6	L11770
18	ArXII	11	Argon	N	1s22s22p3	4S°3/2	2p23P0	619.0	0.4	L11770
18	ArXIII	12	Argon	C	1s22s22p2	3P0	2p2P°1/2	685.5	0.3	L11770
18	ArXIV	13	Argon	B	1s22s22p	2P°1/2	2s21S0	755.13	0.22	L11770
18	ArXV	14	Argon	Be	1s22s2	1S0	2s2S1/2	855.5	0.3	L11770
18	ArXVI	15	Argon	Li	1s22s	2S1/2	1s21S0	918.375	0.007	L16264c99
18	ArXVII	16	Argon	He	1s2	1S0	1s2S1/2	4120.6657	0.0004	L12128
18	ArXVIII	17	Argon	H	1s	2S1/2		4426.2229	0.0007	L7188
19	KI	0	Potassium	K	Ar4s	2S1/2	3p61S0	4.34066373	0.00000009	L5451,L5783,L7185
19	KII	1	Potassium	Ar	Ne3s23p6	1S0	3p52P°3/2	31.62500	0.00019	L12188
19	KIII	2	Potassium	Cl	Ne3s23p5	2P°3/2	3p43P2	45.8031	0.0017	L11770
19	KIV	3	Potassium	S	Ne3s23p4	3P2	3p34S°3/2	60.917	0.019	L11770
19	KV	4	Potassium	P	Ne3s23p3	4S°3/2	3p23P0	82.66	0.16	L241
19	KVI	5	Potassium	Si	Ne3s23p2	3P0	3p2P°1/2	99.44	0.20	L7185
19	KVII	6	Potassium	Al	Ne3s23p	2P°1/2	3s21S0	117.56	0.11	L7185
19	KVIII	7	Potassium	Mg	Ne3s2	1S0	3s2S1/2	154.87	0.05	L12392
19	KIX	8	Potassium	Na	Ne3s	2S1/2	2p61S0	175.8174	0.0025	L4344
19	KX	9	Potassium	Ne	1s22s22p6	1S0	2p52P°3/2	503.67	0.07	L11770
19	KXI	10	Potassium	F	1s22s22p5	2P°3/2	2p43P2	565.6	0.7	L11770
19	KXII	11	Potassium	O	1s22s22p4	3P2	2p34S°3/2	631.1	0.9	L11770
19	KXIII	12	Potassium	N	1s22s22p3	4S°3/2	2p23P0	714.7	0.5	L11770
19	KXIV	13	Potassium	C	1s22s22p2	3P0	2p2P°1/2	786.3	0.3	L11770
19	KXV	14	Potassium	B	1s22s22p	2P°1/2	2s21S0	860.92	0.25	L11770
19	KXVI	15	Potassium	Be	1s22s2	1S0	2s2S1/2	967.7	0.3	L11770
19	KXVII	16	Potassium	Li	1s22s	2S1/2	1s21S0	1034.542	0.007	L16264c99
19	KXVIII	17	Potassium	He	1s2	1S0	1s2S1/2	4610.87018	0.00012	L8473
19	KXIX	18	Potassium	H	1s	2S1/2		4934.0484	0.0009	L7188
20	CaI	0	Calcium	Ca	Ar4s2	1S0	4s2S1/2	6.11315547	0.00000025	L8900
